NK SpeedCoach Rowing Session
Session Summary:
Serial Number,NK-999111
Session Name,Starboard 8+ morning row
Session Date,2020-01-11
Session Start Time,09:12:00
Total Distance (GPS),4728
Total Elapsed Time,00:20:23.46
Total Strokes,450

Per-Stroke Data:
Interval,Distance (GPS),Elapsed Time,Split (GPS),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Heart Rate,Power
1,884.9,00:04:07.30,2:13.1,19.0,78,11.85,130,0
1,896.5,00:04:10.36,2:12.1,19.6,79,11.57,135,0
1,906.8,00:04:13.12,2:12.9,21.8,80,10.36,138,0
1,917.8,00:04:15.98,2:10.4,20.9,81,10.99,135,0
1,929.0,00:04:18.98,2:14.3,20.0,82,11.17,137,0
1,940.2,00:04:22.04,2:15.7,19.7,83,11.25,134,0
1,951.5,00:04:25.05,2:13.4,19.9,84,11.30,142,0
1,962.9,00:04:28.06,2:12.8,20.0,85,11.32,141,0
1,973.4,00:04:30.88,2:14.6,21.3,86,10.48,133,0
1,984.6,00:04:33.97,2:17.5,19.4,87,11.24,134,0
1,995.9,00:04:37.06,2:16.7,19.4,88,11.29,134,0
1,1006.7,00:04:40.07,2:18.9,20.0,89,10.82,138,0
1,1017.2,00:04:42.92,2:15.8,21.0,90,10.52,139,0
1,1028.3,00:04:45.94,2:16.9,19.9,91,11.03,138,0
1,1039.8,00:04:48.99,2:12.4,19.7,92,11.51,137,0
1,1050.8,00:04:52.01,2:16.2,19.9,93,11.06,133,0
1,1061.6,00:04:54.95,2:16.9,20.4,94,10.73,142,0
1,1071.9,00:04:57.75,2:15.8,21.4,95,10.31,139,0
1,1083.1,00:05:00.82,2:17.3,19.5,96,11.20,135,0
1,1093.6,00:05:03.67,2:15.7,21.1,97,10.50,134,0
1,1104.8,00:05:06.76,2:17.5,19.4,98,11.23,135,0
1,1115.5,00:05:09.68,2:16.0,20.6,99,10.73,129,0
1,1126.4,00:05:12.60,2:14.3,20.5,100,10.91,136,0
1,1137.6,00:05:15.55,2:11.4,20.4,101,11.20,134,0
1,1148.7,00:05:18.55,2:15.8,20.0,102,11.07,138,0
1,1160.2,00:05:21.64,2:14.5,19.5,103,11.46,137,0
1,1171.8,00:05:24.87,2:18.7,18.5,104,11.67,132,0
1,1182.4,00:05:27.72,2:15.3,21.1,105,10.53,141,0
1,1193.0,00:05:30.61,2:14.9,20.8,106,10.67,130,0
1,1204.0,00:05:33.59,2:15.6,20.1,107,11.00,137,0
1,1215.9,00:05:36.75,2:13.4,19.0,108,11.84,133,0
1,1227.0,00:05:39.71,2:13.3,20.2,109,11.13,135,0
1,1237.8,00:05:42.61,2:14.2,20.7,110,10.78,139,0
1,1248.8,00:05:45.57,2:14.5,20.2,111,11.02,138,0
1,1259.8,00:05:48.51,2:14.4,20.4,112,10.94,133,0
1,1270.8,00:05:51.52,2:15.7,20.0,113,11.07,138,0
1,1281.9,00:05:54.49,2:13.8,20.2,114,11.09,131,0
1,1292.9,00:05:57.46,2:15.8,20.2,115,10.93,138,0
1,1304.4,00:06:00.52,2:12.4,19.6,116,11.57,138,0
1,1315.8,00:06:03.54,2:12.6,19.9,117,11.39,140,0
1,1326.5,00:06:06.44,2:15.1,20.7,118,10.72,136,0
1,1337.8,00:06:09.53,2:17.0,19.4,119,11.28,134,0
1,1349.2,00:06:12.58,2:14.4,19.6,120,11.36,132,0
1,1359.6,00:06:15.47,2:18.3,20.8,121,10.42,137,0
1,1371.8,00:06:18.73,2:14.4,18.4,122,12.15,133,0
1,1383.1,00:06:21.69,2:10.7,20.3,123,11.30,129,0
1,1394.2,00:06:24.74,2:17.0,19.6,124,11.15,134,0
1,1404.6,00:06:27.50,2:13.3,21.8,125,10.34,135,0
1,1415.9,00:06:30.52,2:13.4,19.9,126,11.31,138,0
1,1427.8,00:06:33.69,2:12.9,19.0,127,11.91,134,0
1,1438.9,00:06:36.74,2:17.2,19.6,128,11.14,133,0
1,1449.9,00:06:39.68,2:14.1,20.4,129,10.97,139,0
1,1461.0,00:06:42.69,2:15.5,20.0,130,11.07,130,0
1,1472.0,00:06:45.60,2:12.7,20.6,131,10.99,141,0
1,1482.8,00:06:48.54,2:15.1,20.4,132,10.88,141,0
1,1494.0,00:06:51.50,2:12.3,20.3,133,11.17,138,0
1,1505.3,00:06:54.48,2:11.7,20.1,134,11.31,140,0
1,1515.9,00:06:57.31,2:14.5,21.2,135,10.54,138,0
1,1526.7,00:07:00.26,2:16.2,20.4,136,10.81,136,0
1,1537.6,00:07:03.15,2:12.5,20.8,137,10.90,140,0
1,1548.8,00:07:06.09,2:11.5,20.4,138,11.18,140,0
1,1560.1,00:07:09.06,2:10.7,20.2,139,11.38,137,0
1,1571.8,00:07:12.14,2:12.2,19.5,140,11.63,139,0
1,1583.3,00:07:15.24,2:14.1,19.4,141,11.55,135,0
1,1594.3,00:07:18.27,2:17.6,19.8,142,11.01,139,0
1,1606.4,00:07:21.47,2:12.1,18.8,143,12.10,138,0
1,1618.2,00:07:24.67,2:15.9,18.7,144,11.80,138,0
1,1629.4,00:07:27.68,2:14.1,19.9,145,11.22,136,0
1,1641.7,00:07:30.82,2:07.8,19.1,146,12.29,133,0
1,1652.7,00:07:33.80,2:15.4,20.2,147,10.98,137,0
1,1664.8,00:07:37.03,2:13.3,18.5,148,12.13,138,0
1,1676.4,00:07:40.19,2:16.7,19.0,149,11.57,135,0
1,1687.8,00:07:43.19,2:11.8,20.0,150,11.38,141,0
1,1699.7,00:07:46.35,2:12.2,19.0,151,11.94,141,0
1,1711.6,00:07:49.51,2:12.9,19.0,152,11.88,140,0
1,1722.9,00:07:52.47,2:10.5,20.3,153,11.33,140,0
1,1734.1,00:07:55.50,2:16.4,19.8,154,11.12,133,0
1,1744.9,00:07:58.41,2:14.8,20.6,155,10.80,137,0
1,1756.2,00:08:01.47,2:14.8,19.7,156,11.32,136,0
1,1767.7,00:08:04.51,2:12.5,19.7,157,11.48,138,0
1,1778.8,00:08:07.43,2:10.8,20.5,158,11.17,138,0
1,1789.7,00:08:10.39,2:17.0,20.2,159,10.82,136,0
1,1800.4,00:08:13.25,2:13.1,21.0,160,10.73,139,0
1,1811.4,00:08:16.23,2:14.5,20.2,161,11.05,137,0
1,1822.8,00:08:19.35,2:16.9,19.2,162,11.40,142,0
1,1834.1,00:08:22.36,2:13.7,19.9,163,11.28,137,0
1,1846.1,00:08:25.53,2:11.8,18.9,164,12.02,139,0
1,1857.0,00:08:28.42,2:13.5,20.8,165,10.82,135,0
1,1868.8,00:08:31.55,2:12.8,19.1,166,11.80,140,0
1,1880.2,00:08:34.55,2:11.2,20.0,167,11.42,135,0
1,1891.2,00:08:37.51,2:14.6,20.3,168,11.00,143,0
1,1901.7,00:08:40.35,2:14.4,21.1,169,10.56,136,0
1,1913.0,00:08:43.33,2:11.7,20.2,170,11.30,136,0
1,1923.7,00:08:46.21,2:15.2,20.8,171,10.67,141,0
1,1934.3,00:08:49.04,2:13.2,21.2,172,10.61,140,0
1,1945.4,00:08:52.03,2:14.6,20.1,173,11.11,139,0
1,1956.6,00:08:54.97,2:11.2,20.4,174,11.19,134,0
1,1967.7,00:08:57.96,2:15.0,20.1,175,11.08,137,0
1,1979.2,00:09:00.97,2:11.2,19.9,176,11.48,141,0
1,1989.9,00:09:03.92,2:17.0,20.4,177,10.76,137,0
1,2001.2,00:09:06.93,2:14.1,19.9,178,11.23,142,0
1,2012.1,00:09:09.86,2:14.8,20.4,179,10.89,133,0
1,2023.9,00:09:12.97,2:11.1,19.3,180,11.85,137,0
1,2034.7,00:09:15.87,2:14.1,20.7,181,10.82,135,0
1,2045.3,00:09:18.65,2:11.8,21.6,182,10.53,142,0
1,2055.9,00:09:21.52,2:14.5,20.9,183,10.66,142,0
1,2067.7,00:09:24.65,2:12.9,19.1,184,11.80,137,0
1,2078.8,00:09:27.61,2:13.6,20.3,185,11.06,143,0
1,2090.2,00:09:30.66,2:13.5,19.7,186,11.41,134,0
1,2101.1,00:09:33.60,2:15.6,20.4,187,10.86,136,0
1,2113.1,00:09:36.76,2:11.2,19.0,188,12.03,141,0
1,2123.9,00:09:39.67,2:14.5,20.6,189,10.81,140,0
1,2134.8,00:09:42.61,2:14.9,20.4,190,10.91,133,0
1,2145.7,00:09:45.55,2:15.4,20.4,191,10.86,141,0
1,2156.6,00:09:48.44,2:12.6,20.8,192,10.89,139,0
1,2168.2,00:09:51.62,2:16.8,18.9,193,11.62,134,0
1,2179.2,00:09:54.54,2:12.4,20.6,194,11.02,136,0
1,2190.9,00:09:57.65,2:13.3,19.3,195,11.67,139,0
1,2201.6,00:10:00.52,2:13.4,20.9,196,10.77,141,0
1,2212.1,00:10:03.42,2:18.1,20.7,197,10.50,136,0
1,2223.1,00:10:06.39,2:15.4,20.2,198,10.95,138,0
1,2234.1,00:10:09.32,2:12.7,20.5,199,11.04,137,0
1,2245.7,00:10:12.39,2:12.7,19.5,200,11.59,135,0
1,2257.2,00:10:15.41,2:11.6,19.9,201,11.45,136,0
1,2268.4,00:10:18.34,2:10.9,20.5,202,11.21,135,0
1,2279.9,00:10:21.39,2:11.9,19.7,203,11.57,135,0
1,2290.3,00:10:24.18,2:14.6,21.5,204,10.37,137,0
1,2302.1,00:10:27.27,2:10.9,19.4,205,11.81,135,0
1,2314.3,00:10:30.58,2:15.1,18.2,206,12.23,136,0
1,2325.2,00:10:33.47,2:14.0,20.7,207,10.81,132,0
1,2335.5,00:10:36.27,2:15.0,21.5,208,10.34,141,0
1,2347.0,00:10:39.33,2:12.9,19.6,209,11.55,137,0
1,2357.7,00:10:42.14,2:11.5,21.4,210,10.65,135,0
1,2369.0,00:10:45.08,2:10.1,20.4,211,11.30,142,0
1,2380.5,00:10:48.22,2:16.3,19.1,212,11.54,138,0
1,2392.1,00:10:51.27,2:11.7,19.7,213,11.56,142,0
1,2403.6,00:10:54.30,2:11.3,19.8,214,11.55,140,0
1,2414.8,00:10:57.32,2:15.0,19.9,215,11.18,137,0
1,2425.8,00:11:00.28,2:14.9,20.3,216,10.96,138,0
1,2437.7,00:11:03.48,2:15.0,18.7,217,11.89,142,0
1,2448.5,00:11:06.43,2:15.8,20.3,218,10.86,140,0
1,2459.7,00:11:09.47,2:16.1,19.8,219,11.16,137,0
1,2471.6,00:11:12.60,2:11.5,19.2,220,11.88,141,0
1,2481.3,00:11:15.04,2:06.2,24.6,221,9.68,150,0
1,2491.8,00:11:17.70,2:06.5,22.6,222,10.51,152,0
1,2502.1,00:11:20.25,2:03.8,23.5,223,10.31,150,0
1,2512.6,00:11:22.92,2:06.2,22.5,224,10.55,154,0
1,2522.4,00:11:25.35,2:04.3,24.7,225,9.78,148,0
1,2532.9,00:11:27.97,2:04.4,22.9,226,10.53,157,0
1,2542.6,00:11:30.39,2:05.0,24.7,227,9.70,153,0
1,2552.4,00:11:32.83,2:05.1,24.6,228,9.73,153,0
1,2562.4,00:11:35.31,2:03.8,24.2,229,10.03,149,0
1,2572.4,00:11:37.86,2:07.3,23.5,230,10.01,147,0
1,2582.6,00:11:40.40,2:04.2,23.6,231,10.22,152,0
1,2592.7,00:11:42.93,2:06.5,23.6,232,10.03,151,0
1,2602.6,00:11:45.44,2:06.4,24.0,233,9.89,148,0
1,2612.1,00:11:47.85,2:07.0,24.9,234,9.50,148,0
1,2622.2,00:11:50.36,2:03.5,23.9,235,10.15,151,0
1,2632.3,00:11:52.80,2:01.3,24.6,236,10.05,154,0
1,2642.1,00:11:55.26,2:05.0,24.3,237,9.86,159,0
1,2652.5,00:11:57.80,2:02.0,23.6,238,10.42,153,0
1,2662.6,00:12:00.29,2:03.7,24.1,239,10.06,146,0
1,2673.0,00:12:02.96,2:08.2,22.5,240,10.40,147,0
1,2682.4,00:12:05.35,2:06.6,25.1,241,9.44,145,0
1,2692.3,00:12:07.83,2:06.3,24.1,242,9.84,155,0
1,2701.7,00:12:10.23,2:07.5,25.0,243,9.39,152,0
1,2711.8,00:12:12.75,2:04.6,23.8,244,10.12,154,0
1,2722.3,00:12:15.33,2:02.9,23.3,245,10.50,159,0
1,2731.8,00:12:17.75,2:07.1,24.8,246,9.54,151,0
1,2742.2,00:12:20.33,2:04.1,23.3,247,10.36,150,0
1,2752.7,00:12:22.88,2:01.9,23.5,248,10.47,154,0
1,2762.4,00:12:25.35,2:06.6,24.3,249,9.77,152,0
1,2772.3,00:12:27.91,2:09.0,23.4,250,9.93,155,0
1,2782.0,00:12:30.37,2:06.7,24.4,251,9.68,151,0
1,2791.9,00:12:32.81,2:03.5,24.6,252,9.88,155,0
1,2801.5,00:12:35.24,2:06.6,24.7,253,9.58,153,0
1,2811.4,00:12:37.73,2:05.4,24.1,254,9.92,154,0
1,2821.5,00:12:40.26,2:06.4,23.6,255,10.04,154,0
1,2832.2,00:12:42.87,2:01.6,23.0,256,10.73,153,0
1,2842.4,00:12:45.40,2:03.4,23.7,257,10.25,148,0
1,2853.1,00:12:48.00,2:01.7,23.1,258,10.66,151,0
1,2863.9,00:12:50.63,2:01.6,22.8,259,10.84,152,0
1,2873.3,00:12:53.01,2:07.4,25.2,260,9.35,151,0
1,2883.2,00:12:55.48,2:04.5,24.3,261,9.92,152,0
1,2893.5,00:12:58.05,2:05.0,23.4,262,10.26,149,0
1,2903.7,00:13:00.61,2:04.7,23.4,263,10.28,152,0
1,2913.2,00:13:02.96,2:03.3,25.6,264,9.51,149,0
1,2923.0,00:13:05.41,2:06.1,24.5,265,9.71,154,0
1,2933.2,00:13:07.92,2:02.0,23.9,266,10.29,151,0
1,2943.7,00:13:10.53,2:04.8,23.0,267,10.46,157,0
1,2953.8,00:13:13.05,2:05.2,23.7,268,10.10,155,0
1,2964.1,00:13:15.67,2:06.5,22.9,269,10.34,151,0
1,2974.4,00:13:18.23,2:04.2,23.4,270,10.30,149,0
1,2984.2,00:13:20.66,2:05.2,24.7,271,9.72,151,0
1,2994.2,00:13:23.12,2:02.0,24.4,272,10.09,144,0
1,3003.9,00:13:25.52,2:03.8,25.0,273,9.68,154,0
1,3014.5,00:13:28.10,2:01.4,23.3,274,10.62,149,0
1,3024.2,00:13:30.53,2:05.7,24.7,275,9.66,150,0
1,3034.0,00:13:32.98,2:04.4,24.5,276,9.84,152,0
1,3044.8,00:13:35.57,2:00.5,23.1,277,10.76,152,0
1,3054.7,00:13:38.02,2:03.2,24.5,278,9.94,157,0
1,3064.4,00:13:40.50,2:08.4,24.2,279,9.65,154,0
1,3074.1,00:13:42.90,2:04.5,25.0,280,9.66,148,0
1,3083.2,00:13:45.23,2:07.5,25.7,281,9.14,154,0
1,3093.4,00:13:47.81,2:06.7,23.3,282,10.18,149,0
1,3103.1,00:13:50.27,2:06.8,24.4,283,9.70,153,0
1,3113.3,00:13:52.86,2:06.2,23.2,284,10.25,152,0
1,3123.0,00:13:55.32,2:07.4,24.4,285,9.64,150,0
1,3133.6,00:13:57.89,2:00.8,23.3,286,10.65,156,0
1,3143.7,00:14:00.46,2:07.5,23.3,287,10.08,153,0
1,3153.3,00:14:02.87,2:05.4,24.9,288,9.60,153,0
1,3163.3,00:14:05.39,2:05.8,23.8,289,10.02,149,0
1,3173.3,00:14:07.81,2:01.6,24.8,290,9.95,150,0
1,3183.4,00:14:10.35,2:05.1,23.7,291,10.13,152,0
1,3193.8,00:14:12.93,2:05.1,23.2,292,10.34,144,0
1,3204.0,00:14:15.50,2:04.8,23.4,293,10.28,150,0
1,3213.8,00:14:17.92,2:04.6,24.7,294,9.73,153,0
1,3224.0,00:14:20.52,2:06.7,23.1,295,10.26,154,0
1,3234.3,00:14:23.16,2:07.7,22.8,296,10.32,148,0
1,3244.6,00:14:25.77,2:06.5,23.0,297,10.30,157,0
1,3254.5,00:14:28.22,2:04.6,24.5,298,9.84,150,0
1,3264.7,00:14:30.78,2:05.3,23.4,299,10.25,153,0
1,3275.0,00:14:33.37,2:05.9,23.2,300,10.28,145,0
1,3284.4,00:14:35.50,1:53.1,28.1,301,9.43,164,0
1,3293.2,00:14:37.53,1:56.1,29.6,302,8.73,167,0
1,3302.6,00:14:39.75,1:57.7,27.1,303,9.41,168,0
1,3312.5,00:14:41.94,1:50.2,27.3,304,9.96,171,0
1,3321.6,00:14:44.04,1:55.9,28.5,305,9.07,165,0
1,3331.3,00:14:46.31,1:57.1,26.5,306,9.66,167,0
1,3340.8,00:14:48.41,1:49.8,28.5,307,9.57,167,0
1,3350.0,00:14:50.51,1:54.8,28.5,308,9.17,173,0
1,3359.0,00:14:52.61,1:56.9,28.6,309,8.96,170,0
1,3368.5,00:14:54.77,1:53.3,27.8,310,9.53,165,0
1,3377.6,00:14:56.84,1:54.5,28.9,311,9.05,162,0
1,3386.8,00:14:58.98,1:55.0,28.1,312,9.28,166,0
1,3396.2,00:15:01.10,1:53.1,28.3,313,9.38,176,0
1,3405.8,00:15:03.27,1:52.9,27.6,314,9.63,168,0
1,3415.0,00:15:05.41,1:56.6,28.1,315,9.16,168,0
1,3424.2,00:15:07.52,1:54.9,28.5,316,9.17,167,0
1,3433.9,00:15:09.73,1:53.4,27.1,317,9.75,168,0
1,3443.5,00:15:11.95,1:56.5,27.0,318,9.55,167,0
1,3452.4,00:15:14.03,1:56.5,28.9,319,8.92,167,0
1,3460.8,00:15:16.01,1:57.7,30.4,320,8.39,166,0
1,3470.1,00:15:18.13,1:53.7,28.3,321,9.32,165,0
1,3479.5,00:15:20.27,1:53.9,28.1,322,9.38,170,0
1,3489.2,00:15:22.50,1:55.4,26.8,323,9.68,172,0
1,3498.2,00:15:24.63,1:58.7,28.2,324,8.98,174,0
1,3507.9,00:15:26.85,1:54.1,27.0,325,9.74,166,0
1,3516.9,00:15:28.91,1:53.9,29.1,326,9.04,162,0
1,3526.5,00:15:31.10,1:54.2,27.4,327,9.57,167,0
1,3535.9,00:15:33.26,1:54.9,27.8,328,9.38,165,0
1,3545.3,00:15:35.41,1:54.0,27.9,329,9.43,167,0
1,3554.6,00:15:37.57,1:56.5,27.7,330,9.29,169,0
1,3563.9,00:15:39.68,1:53.4,28.5,331,9.30,163,0
1,3573.2,00:15:41.84,1:56.5,27.8,332,9.26,168,0
1,3582.9,00:15:44.02,1:51.7,27.5,333,9.76,169,0
1,3592.8,00:15:46.22,1:51.5,27.3,334,9.86,169,0
1,3601.9,00:15:48.36,1:57.3,28.0,335,9.14,164,0
1,3611.6,00:15:50.59,1:55.1,26.8,336,9.71,172,0
1,3620.8,00:15:52.73,1:56.1,28.1,337,9.19,164,0
1,3630.3,00:15:54.86,1:51.9,28.2,338,9.52,162,0
1,3639.3,00:15:56.96,1:57.1,28.5,339,8.99,166,0
1,3648.5,00:15:59.10,1:56.0,28.1,340,9.21,167,0
1,3657.8,00:16:01.25,1:55.6,28.0,341,9.28,165,0
1,3667.4,00:16:03.46,1:55.7,27.1,342,9.57,175,0
1,3676.9,00:16:05.63,1:54.0,27.6,343,9.52,173,0
1,3686.5,00:16:07.82,1:53.4,27.4,344,9.64,174,0
1,3695.6,00:16:09.92,1:56.4,28.5,345,9.05,161,0
1,3704.6,00:16:11.99,1:54.4,29.0,346,9.05,171,0
1,3713.5,00:16:14.11,1:58.6,28.4,347,8.91,170,0
1,3722.5,00:16:16.15,1:53.6,29.4,348,8.97,171,0
1,3731.8,00:16:18.26,1:53.9,28.4,349,9.26,164,0
1,3741.3,00:16:20.41,1:53.2,27.8,350,9.53,167,0
1,3750.9,00:16:22.59,1:53.6,27.6,351,9.57,168,0
1,3760.3,00:16:24.73,1:52.9,28.1,352,9.46,166,0
1,3769.7,00:16:26.86,1:53.9,28.1,353,9.36,166,0
1,3779.6,00:16:29.06,1:51.3,27.2,354,9.90,167,0
1,3789.2,00:16:31.27,1:54.7,27.2,355,9.63,167,0
1,3798.5,00:16:33.44,1:56.7,27.6,356,9.30,165,0
1,3807.5,00:16:35.52,1:55.6,28.9,357,8.98,176,0
1,3817.2,00:16:37.72,1:53.6,27.3,358,9.69,169,0
1,3826.4,00:16:39.82,1:54.4,28.6,359,9.17,170,0
1,3835.9,00:16:41.96,1:52.1,28.1,360,9.54,169,0
1,3844.6,00:16:43.79,1:45.7,32.7,361,8.69,178,0
1,3853.6,00:16:45.71,1:46.4,31.3,362,9.01,182,0
1,3862.8,00:16:47.66,1:46.2,30.9,363,9.15,173,0
1,3872.2,00:16:49.52,1:39.6,32.1,364,9.37,177,0
1,3881.2,00:16:51.37,1:42.0,32.5,365,9.05,174,0
1,3890.2,00:16:53.24,1:44.4,32.1,366,8.96,179,0
1,3899.0,00:16:55.05,1:42.6,33.1,367,8.84,179,0
1,3909.0,00:16:57.03,1:38.9,30.4,368,9.97,175,0
1,3918.5,00:16:59.04,1:45.9,29.8,369,9.51,181,0
1,3927.6,00:17:00.89,1:41.7,32.4,370,9.11,176,0
1,3937.0,00:17:02.85,1:44.5,30.6,371,9.38,175,0
1,3945.6,00:17:04.68,1:45.8,32.9,372,8.63,174,0
1,3954.2,00:17:06.49,1:45.4,33.2,373,8.58,181,0
1,3962.9,00:17:08.37,1:47.6,32.0,374,8.72,181,0
1,3971.4,00:17:10.20,1:47.8,32.6,375,8.53,180,0
1,3980.4,00:17:12.07,1:43.5,32.2,376,8.99,172,0
1,3989.0,00:17:13.88,1:46.2,33.0,377,8.56,175,0
1,3997.7,00:17:15.72,1:45.3,32.7,378,8.72,178,0
1,4006.1,00:17:17.51,1:47.0,33.5,379,8.37,174,0
1,4014.8,00:17:19.38,1:47.0,32.1,380,8.74,181,0
1,4023.7,00:17:21.23,1:44.2,32.4,381,8.88,179,0
1,4032.8,00:17:23.20,1:47.6,30.5,382,9.15,178,0
1,4042.0,00:17:25.10,1:43.5,31.5,383,9.18,178,0
1,4051.3,00:17:27.02,1:43.0,31.3,384,9.30,175,0
1,4059.9,00:17:28.82,1:44.8,33.4,385,8.57,180,0
1,4068.9,00:17:30.67,1:43.7,32.3,386,8.96,180,0
1,4078.0,00:17:32.56,1:43.5,31.9,387,9.10,175,0
1,4087.1,00:17:34.45,1:44.0,31.7,388,9.10,182,0
1,4096.4,00:17:36.45,1:47.2,30.0,389,9.34,182,0
1,4105.1,00:17:38.26,1:43.6,33.2,390,8.71,175,0
1,4113.7,00:17:40.08,1:46.4,33.0,391,8.54,179,0
